CVE_INEGI,CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,Tarifa,Consumo 2010,Consumo 2011,Consumo 2012,Consumo 2013,Consumo 2014,Consumo 2015,Consumo 2016,Usuarios 2010,Usuarios 2011,Usuarios 2012,Usuarios 2013,Usuarios 2014,Usuarios 2015,Usuarios 2016
20360.0,20,360,Oaxaca                                            ,Santa Ana Zegache                                 ,1,750688.0,940027.0,937680.0,978284.0,1004730.0,839203.0,843626.0,931.0,1200.0,1239.0,1270.0,1056.0,1122.0,1157.0
20360.0,20,360,Oaxaca                                            ,Santa Ana Zegache                                 ,DAC,0.0,4891.0,1334.0,5466.0,6308.0,8524.0,8433.0,0.0,1.0,1.0,5.0,0.0,1.0,4.0
20361.0,20,361,Oaxaca                                            ,Santa Catalina Quieri                             ,1,95047.0,95262.0,96520.0,109625.0,101282.0,94737.0,101235.0,236.0,240.0,238.0,240.0,243.0,246.0,250.0
20361.0,20,361,Oaxaca                                            ,Santa Catalina Quieri                             ,DAC,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20362.0,20,362,Oaxaca                                            ,Santa Catarina Cuixtla                            ,1,326021.0,281951.0,349617.0,349353.0,347170.0,339125.0,332444.0,563.0,566.0,567.0,577.0,585.0,589.0,615.0
20362.0,20,362,Oaxaca                                            ,Santa Catarina Cuixtla                            ,DAC,0.0,5681.0,0.0,0.0,2948.0,488.0,1531.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20363.0,20,363,Oaxaca                                            ,Santa Catarina Ixtepeji                           ,1,522940.0,528623.0,529805.0,544519.0,542067.0,487933.0,507762.0,745.0,750.0,761.0,776.0,780.0,862.0,888.0
20363.0,20,363,Oaxaca                                            ,Santa Catarina Ixtepeji                           ,DAC,12247.0,10763.0,10405.0,9623.0,4426.0,7378.0,8223.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0
20364.0,20,364,Oaxaca                                            ,Santa Catarina Juquila                            ,1,2692703.0,2729408.0,2853509.0,2914357.0,2946244.0,2895963.0,2883637.0,3403.0,3561.0,3626.0,3603.0,3678.0,3764.0,3902.0
20364.0,20,364,Oaxaca                                            ,Santa Catarina Juquila                            ,DAC,124887.0,99497.0,98627.0,89184.0,80826.0,77850.0,62273.0,32.0,23.0,26.0,19.0,22.0,18.0,16.0
